"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 17 20:54:49 GMT 2025","Sat May 17 20:54:50 GMT 2025","1623","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat May 17 20:54:51 GMT 2025","Sat May 17 20:54:54 GMT 2025","3567","LMS system","Courses","Courses","","","Create course",""
"passed","Sat May 17 20:54:51 GMT 2025","Sat May 17 20:54:54 GMT 2025","3890","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat May 17 20:54:45 GMT 2025","Sat May 17 20:54:46 GMT 2025","1752","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Sat May 17 20:54:47 GMT 2025","Sat May 17 20:54:49 GMT 2025","2136","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat May 17 20:54:39 GMT 2025","Sat May 17 20:54:42 GMT 2025","2299","LMS system","Authentication","Authorization","","","User login with wrong password",""
"passed","Sat May 17 20:54:39 GMT 2025","Sat May 17 20:54:42 GMT 2025","2323","LMS system","Authentication","Authorization","","","User login with wrong password",""
"passed","Sat May 17 20:54:42 GMT 2025","Sat May 17 20:54:46 GMT 2025","3642","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat May 17 20:54:55 GMT 2025","Sat May 17 20:54:57 GMT 2025","1620","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat May 17 20:54:42 GMT 2025","Sat May 17 20:54:44 GMT 2025","1720","LMS system","Authentication","Authorization","","","User login with wrong password",""
